Case ID,Suspect,Variable,Value,Description,Solution
C7345,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C5897,Mary,Weapon,Gun,Murder weapon,Alice
C5892,John,Location,Living Room,Location of the crime,Peter
C3751,Mary,Motive,Revenge,Suspect's motive for the crime,Mary
C8232,John,Location,Living Room,Location of the crime,Mary
C8390,Mary,Motive,None,Suspect's motive for the crime,Mary
C5806,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C6535,Mary,Location,Living Room,Location of the crime,Mary
C5288,Peter,Opportunity,High,Suspect's opportunity to commit the crime,John
C5375,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C5866,John,Motive,None,Suspect's motive for the crime,Peter
C2334,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C9323,John,Weapon,Poison,Murder weapon,Alice
C7397,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9326,Alice,Weapon,Gun,Murder weapon,Mary
C9461,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C8183,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C4940,Mary,Motive,None,Suspect's motive for the crime,Mary
C7852,Alice,Weapon,Fists,Murder weapon,Peter
C7278,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C8217,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C6451,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C7882,Mary,Location,Living Room,Location of the crime,Peter
C8225,John,Motive,Jealousy,Suspect's motive for the crime,Mary
C6224,John,Motive,Jealousy,Suspect's motive for the crime,Peter
C4571,John,Weapon,Poison,Murder weapon,John
C6711,Peter,Weapon,Poison,Murder weapon,Peter
C8865,Peter,Location,Living Room,Location of the crime,Mary
C4650,John,Weapon,Gun,Murder weapon,Peter
C9172,John,Motive,None,Suspect's motive for the crime,John
C1826,John,Weapon,Knife,Murder weapon,Mary
C6679,Peter,Weapon,Knife,Murder weapon,Alice
C1710,Peter,Motive,Greed,Suspect's motive for the crime,Peter
C6814,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C8701,Peter,Motive,Revenge,Suspect's motive for the crime,Alice
C2572,Peter,Location,Kitchen,Location of the crime,Alice
C7766,John,Motive,Revenge,Suspect's motive for the crime,Peter
C2654,Peter,Location,Living Room,Location of the crime,Mary
C7223,Mary,Motive,Jealousy,Suspect's motive for the crime,Mary
C3948,Alice,Weapon,Fists,Murder weapon,Mary
C1130,John,Weapon,Knife,Murder weapon,John
C7267,Mary,Location,Garden,Location of the crime,Mary
C1889,Alice,Weapon,Fists,Murder weapon,Peter
C8448,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C1922,Alice,Location,Kitchen,Location of the crime,Mary
C5999,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C9184,John,Motive,Jealousy,Suspect's motive for the crime,John
C3975,John,Weapon,Fists,Murder weapon,Peter
C5495,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C7918,John,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C2414,Peter,Weapon,Poison,Murder weapon,Alice
C1261,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C9661,John,Weapon,Gun,Murder weapon,John
C8911,John,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C1423,Mary,Motive,None,Suspect's motive for the crime,John
C3096,Alice,Motive,None,Suspect's motive for the crime,Mary
C2751,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C4781,Peter,Motive,Jealousy,Suspect's motive for the crime,Alice
C2191,Mary,Motive,None,Suspect's motive for the crime,Alice
C7366,Peter,Location,Garden,Location of the crime,Alice
C2094,Alice,Location,Kitchen,Location of the crime,Peter
C3290,John,Location,Garden,Location of the crime,Mary
C9474,Alice,Location,Living Room,Location of the crime,Peter
C3304,Peter,Motive,Revenge,Suspect's motive for the crime,Peter
C1166,Mary,Weapon,Gun,Murder weapon,John
C1088,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C5441,John,Weapon,Poison,Murder weapon,Alice
C7893,Mary,Weapon,Fists,Murder weapon,Alice
C9329,Mary,Motive,Revenge,Suspect's motive for the crime,Mary
C5623,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C6064,Mary,Weapon,Gun,Murder weapon,Peter
C7037,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C9088,John,Weapon,Gun,Murder weapon,Alice
C1250,Peter,Motive,Jealousy,Suspect's motive for the crime,Mary
C6354,Peter,Weapon,Knife,Murder weapon,Mary
C3332,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5189,Peter,Location,Garden,Location of the crime,Mary
